"Padre, apasionado de los deportes y candidato de Lo Nuevo.Soy Máynez y quiero ser presidente de México."
Miles de jóvenes me preguntan qué pueden hacer. La verdad es que ustedes mismos han marcado la pauta.
"¿Es hora de despedirnos del “Amlito”? Ahora llega el “Maynecito”; el peluche del candidato de Movimiento Ciudadano, Jorge @AlvarezMaynez, el cual ya es tendencia en redes sociales. #RadioFórmulaMX #AbriendoLaConversación"
"Que las y los estudiantes de medicina y enfermería tengan condiciones dignas durante el servicio social, el internado y la residencia.Ese ha sido un compromiso reiterado en nuestras visitas a las universidades y hoy lo hicimos en el @CUCosta: nuestra visita número 31 a las universidades de México 🇲🇽."
"El desmantelamiento institucional es consecuencia de la corrupción, prepotencia y abuso de tipos como @alitomorenoc y @MarkoCortes, estimado Roberto.Hay que analizar las causas raíz del surgimiento de líderes mesiánicos como AMLO.Lo que repites, es lo que Alito y Marko buscan"
La verdad es que todos los días son mucho más de 100 :) ¡Gracias a todas y a todos por su cariño y por haber cambiado esta elección! México va a volver a sonreír #ElNuevoPresidente
"Lo que está pasando en las redes también está pasando en las calles. La gente quiere una nueva opción: decente, con propuestas y de futuro."
"¡Gracias Nayarit! ¡Vamos por una nueva etapa de prosperidad, seguridad y oportunidades para todas y todos!"
"En Nayarit, ya somos segunda fuerza desde hace 3 años y en este 2024 vamos el triunfo total. ¡Las y los jóvenes harán la diferencia! Estuvimos en Xalisco, acompañando a @NachoFloresnay, Tita Márquez y a todas nuestras candidaturas. #ElNuevoPresidente"
"El día de hoy, estamos exactamente a un mes de la elección. Dándolo todo en la cancha, y con el apoyo del jugador número 12, haremos posible lo imposible. #ElNuevoPresidente"
"Están desesperados. Con el apoyo de millones de personas que cambiaron la elección, ya los mandamos al tercer lugar. Si les importara México, se harían a un lado. Pero ahora, por lo único que pelean son sus pluris."
"Además de duplicar las becas para estudiantes el próximo sexenio, las y los jóvenes tendrán derecho a un bono cultural para asistir a conciertos, al teatro y comprar libros o música. En el segundo debate, expuse esta propuesta que permitirá que florezcan la cultura y las industrias creativas en todo México 🇲🇽."
"La encuesta de El Norte (Grupo Reforma) confirma lo que hemos venido sintiendo en los últimos en las calles: la elección ya cambió. Esta encuesta se realizó previo al primer debate. Hoy, las cosas pintan aún mejor."
"Cuidar es trabajar. Y en México, las mujeres cuidan y cuidan. Por eso, con un nuevo Sistema Nacional de Cuidados, vamos a cuidar a quien nos cuida. Y su trabajo debe ser remunerado:"
"Claudio: 1. No se explicaría el presente que vivimos sin los gobiernos de Peña Nieto, Calderón y Fox. 2. Nada en lo que participen Alito, Marko, Beltrones, Cienfuegos y compañía es “por el bien de México”. 3. El futuro, sin ellos, será mejor. 4. Dejen de hacer el ridículo."
"No vayan a pensar que este nuevo nivel de agresividad iracunda tiene que ver con que la candidata de los grupos de interés vaya en tercer lugar.  No me explico por qué… si son tan estimulantes sus ofensas, insultos y su desmesura."
"Tienes razón, no sé de dónde sacamos que existe parcialidad. Tu tweet es una muestra del rigor periodístico y el equilibrio informativo que somos incapaces de reconocer. Si estuviéramos en EUA, ganarías el Pulitzer."
¡Todos queremos algo Nuevo! #ElNuevoPresidente 
Nadie quiere censura ni acotar la libertad de expresión. Al contrario: el principio constitucional de equidad justamente tiene por finalidad defender la libertad de expresión y el derecho a la información. Los datos del monitoreo del @INEMexico son públicos y contundentes.
"Lo demostramos en el debate y lo hemos demostrado con trabajo y resultados: somos la opción más comprometida con tus derechos laborales.  Mejores salarios, más días de descanso y un mejor esquema productivo para las empresas. Lo Nuevo defiende tus derechos:"
"¡El partido se puso bueno! Estaba muy aburrido… Se viene una remontada histórica y cumpliendo la ley, sin derroche y sin despilfarro, vamos a construir un #MéxicoNuevo en el que todas y todos podamos ser felices."
"A la vieja política le sobra dinero sucio pero le falta dignidad. Desde Matamoros, en Tamaulipas, le doy las gracias a millones de personas que cambiaron esta elección.¡Haremos posible lo imposible! #PresidenteMáynez!"
"“Luego de la desastrosa participación de la candidata de la coalición Fuerza y Corazón por México, Xóchitl Gálvez, en el segundo debate presidencial, una buena parte de los electores (…) está migrando hacia Jorge Álvarez Máynez”"
" Lo nuevo sigue creciendo y ayer llegó esta novedad a nuestra campaña. ¡México vivirá la mejor época para nacer, crecer y ser niño en el próximo sexenio!"
"Así como @marrdzcantu puso a las niñas y a los niños en el lugar que les tocaba, lo haremos en todo México 🇲🇽. Que todos los días sean #DíaDelNiño."
"La mejor forma de conmemorar el 1 de mayo es luchando por los derechos de los trabajadores. Y hay que hacerlo desmintiendo a quienes dicen que si los trabajadores ganan, los empresarios pierden. Es exactamente al revés."
¡Buenos días! ¿Cómo ven la votación que hicieron los jóvenes de la @UJED_Oficial en Durango?  Estamos logrando algo increíble. Y lo estamos haciendo gracias a millones de jóvenes que están tomando en sus manos el futuro de México 🇲🇽.
"¡Gracias San Luis Potosí! Aprovecharemos la ubicación geográfica de este gran estado para detonar la prosperidad y aprovechar el nearshoring. Vamos a atender la crisis del agua, cambiar el modelo de generación de energía y poner orden y paz en todo el país, incluyendo las carreteras. ¡El #MéxicoNuevo es posible!"
El #PatyMóvil es
"Quiero para tus hijos lo mismo que para los míos: un futuro seguro, en paz, con prosperidad y en el que todas y todos tengan oportunidades."
"Haremos de México un gran país para nacer, crecer y ser feliz. En mi gobierno todos los días van a ser #DíaDelNiño."
"Todos los días deberían de ser de las niñas y los niños. Esa ha sido una convicción a lo largo de mi vida. Por el bien de México, primero las niñas y los niños. #DíaDelNiño"
La vieja política se olvidó de las niñas y los niños porque no votan. Para nosotros serán la prioridad porque ellos son el #MéxicoNuevo.
Y ahora un ESTRENO con especial dedicatoria para las niñas y los niños que hoy celebran su día. ¡Se acerca el partido más importante! Vamos a seguir jugando limpio y en equipo para derrotar a los equipos que ya le han fallado a México 🇲🇽. #ACambiarElMarcador
"Millones de jóvenes cambiaron esta elección: ahora es claro que tenemos una alternativa de futuro, con nuevas ideas para un mejor país."
Estuvimos en la UVM de San Luis Potosí y ya hemos visitado 30 universidades en todo México. #PresidenteMáynez
Que la vivienda sea un derecho y no un privilegio. En el #MéxicoNuevo lo haremos posible:
"La elección ya cambió. La cambiaste tú. Ahora su apuesta es que los jóvenes no salgan a votar. Porque saben que si los jóvenes no votan, gana el pasado. Y si votamos todas y todos, cambia el futuro. ¡Hagamos posible el mejor México 🇲🇽 de la historia!"
